Categori­a;Propiedad EPM;Propiedad Compartido;Propiedad Cliente;Periodo
Oficial y Exentos - Fuera de Punta;398.42;382.73;367.05;201502
Estrato 1 - Rango 0 - CS;170.32;163.57;157.44;201503
Estrato 1 - Rango > CS;407.38;391.71;376.04;201503
Estrato 2 - Rango 0 - CS;212.9;204.46;196.8;201503
Estrato 2 - Rango > CS;407.38;391.71;376.04;201503
Estrato 3 - Rango 0 - CS;346.28;332.96;319.64;201503
Estrato 3 - Rango > CS;407.38;391.71;376.04;201503
Estrato 4 - Todo el consumo;407.38;391.71;376.04;201503
Estrato 5 y 6 - Todo el consumo;488.86;470.05;451.25;201503
Industrial y Comercial;488.86;470.05;451.25;201503
ESPD*;448.12;430.88;413.65;201503
Oficial y Exentos de Contribucion;407.38;391.71;376.04;201503
Industrial y Comercial - Punta;492.77;473.97;455.16;201503
Industrial y Comercial - Fuera de Punta;487.58;468.77;449.97;201503
Oficial y Exentos - Punta;410.64;394.97;379.30;201503
Oficial y Exentos - Fuera de Punta;406.31;390.64;374.97;201503
Estrato 1 - Rango 0 - CS;171.32;164.52;158.35;201504
Estrato 1 - Rango > CS;417.19;401.23;385.27;201504
Estrato 2 - Rango 0 - CS;214.14;205.65;197.94;201504
Estrato 2 - Rango > CS;417.19;401.23;385.27;201504
Estrato 3 - Rango 0 - CS;354.61;341.05;327.48;201504
Estrato 3 - Rango > CS;417.19;401.23;385.27;201504
Estrato 4 - Todo el consumo;417.19;401.23;385.27;201504
Estrato 5 y 6 - Todo el consumo;500.63;481.48;462.33;201504
Industrial y Comercial;500.63;481.48;462.33;201504
ESPD*;458.91;441.35;423.8;201504
Oficial y Exentos de Contribucion;417.19;401.23;385.27;201504
Industrial y Comercial - Punta;503.83;484.68;465.53;201504
Industrial y Comercial - Fuera de Punta;499.65;480.50;461.35;201504
Oficial y Exentos - Punta;419.86;403.90;387.94;201504
Oficial y Exentos - Fuera de Punta;416.37;400.42;384.46;201504
Estrato 1 - Rango 0 - CS;172.24;165.41;159.2;201505
Estrato 1 - Rango > CS;405.03;389.13;373.22;201505
Estrato 2 - Rango 0 - CS;215.29;206.76;199.01;201505
Estrato 2 - Rango > CS;405.03;389.13;373.22;201505
Estrato 3 - Rango 0 - CS;344.28;330.76;317.24;201505
Estrato 3 - Rango > CS;405.03;389.13;373.22;201505
Estrato 4 - Todo el consumo;405.03;389.13;373.22;201505
Estrato 5 y 6 - Todo el consumo;486.04;466.95;447.87;201505
Industrial y Comercial;486.04;466.95;447.87;201505
ESPD*;445.53;428.04;410.55;201505
Oficial y Exentos de Contribucion;405.03;389.13;373.22;201505
Industrial y Comercial - Punta;490.89;471.80;452.72;201505
Industrial y Comercial - Fuera de Punta;484.28;465.19;446.11;201505
Oficial y Exentos - Punta;409.07;393.17;377.27;201505
Oficial y Exentos - Fuera de Punta;403.56;387.66;371.76;201505
Estrato 1 - Rango 0 - CS;172.69;165.84;159.62;201506
Estrato 1 - Rango > CS;409.02;393.22;377.43;201506
Estrato 2 - Rango 0 - CS;215.86;207.3;199.53;201506
Estrato 2 - Rango > CS;409.02;393.22;377.43;201506
Estrato 3 - Rango 0 - CS;347.67;334.24;320.81;201506
Estrato 3 - Rango > CS;409.02;393.22;377.43;201506
Estrato 4 - Todo el consumo;409.02;393.22;377.43;201506
Estrato 5 y 6 - Todo el consumo;490.82;471.87;452.91;201506
Industrial y Comercial;490.82;471.87;452.91;201506
ESPD*;449.92;432.54;415.17;201506
Oficial y Exentos de Contribucion;409.02;393.22;377.43;201506
Industrial y Comercial - Punta;490.32;471.36;452.41;201506
Industrial y Comercial - Fuera de Punta;491.25;472.30;453.34;201506
Oficial y Exentos - Punta;408.60;392.80;377.01;201506
Oficial y Exentos - Fuera de Punta;409.38;393.58;377.78;201506
Estrato 1 - Rango 0 - CS;172.87;166.02;159.79;201507
Estrato 1 - Rango > CS;409.5;393.57;377.63;201507
Estrato 2 - Rango 0 - CS;216.09;207.52;199.74;201507
Estrato 2 - Rango > CS;409.5;393.57;377.63;201507
Estrato 3 - Rango 0 - CS;348.08;334.53;320.99;201507
Estrato 3 - Rango > CS;409.5;393.57;377.63;201507
Estrato 4 - Todo el consumo;409.5;393.57;377.63;201507
Estrato 5 y 6 - Todo el consumo;491.41;472.28;453.16;201507
Industrial y Comercial;491.41;472.28;453.16;201507
ESPD*;450.46;432.92;415.39;201507
Oficial y Exentos de Contribucion;409.5;393.57;377.63;201507
Industrial y Comercial - Punta;493.10;473.97;454.85;201507
Industrial y Comercial - Fuera de Punta;490.82;471.69;452.57;201507
Oficial y Exentos - Punta;410.91;394.98;379.04;201507
Oficial y Exentos - Fuera de Punta;409.02;393.08;377.14;201507
Estrato 1 - Rango 0 - CS;173.2;166.33;160.09;201508
Estrato 1 - Rango > CS;412.73;396.61;380.49;201508
Estrato 2 - Rango 0 - CS;216.5;207.91;200.12;201508
Estrato 2 - Rango > CS;412.73;396.61;380.49;201508
Estrato 3 - Rango 0 - CS;350.82;337.12;323.42;201508
Estrato 3 - Rango > CS;412.73;396.61;380.49;201508
Estrato 4 - Todo el consumo;412.73;396.61;380.49;201508
Estrato 5 y 6 - Todo el consumo;495.27;475.93;456.59;201508
Industrial y Comercial;495.27;475.93;456.59;201508
ESPD*;454;436.27;418.54;201508
Oficial y Exentos de Contribucion;412.73;396.61;380.49;201508
Industrial y Comercial - Punta;496.37;477.03;457.69;201508
Industrial y Comercial - Fuera de Punta;495.13;475.79;456.45;201508
Oficial y Exentos - Punta;413.64;397.52;381.41;201508
Oficial y Exentos - Fuera de Punta;412.61;396.49;380.37;201508
Estrato 1 - Rango 0 - CS;174.03;167.13;160.87;201509
Estrato 1 - Rango > CS;417.29;400.82;384.34;201509
Estrato 2 - Rango 0 - CS;217.54;208.92;201.08;201509
Estrato 2 - Rango > CS;417.29;400.82;384.34;201509
Estrato 3 - Rango 0 - CS;354.70;340.69;326.69;201509
Estrato 3 - Rango > CS;417.29;400.82;384.34;201509
Estrato 4 - Todo el consumo;417.29;400.82;384.34;201509
Estrato 5 y 6 - Todo el consumo;500.75;480.98;461.21;201509
Industrial y Comercial;500.75;480.98;461.21;201509
ESPD*;459.02;440.90;422.78;201509
Oficial y Exentos de Contribucion;417.29;400.82;384.34;201509
Industrial y Comercial - Punta;501.35;481.58;461.81;201509
Industrial y Comercial - Fuera de Punta;500.81;481.04;461.27;201509
Oficial y Exentos - Punta;417.79;401.32;384.84;201509
Oficial y Exentos - Fuera de Punta;417.34;400.86;384.39;201509
Estrato 1 - Rango 0 - CS;175.28;168.33;162.02;201510
Estrato 1 - Rango > CS;430.41;413.75;397.09;201510
Estrato 2 - Rango 0 - CS;219.1;210.41;202.52;201510
Estrato 2 - Rango > CS;430.41;413.75;397.09;201510
Estrato 3 - Rango 0 - CS;365.84;351.68;337.52;201510
Estrato 3 - Rango > CS;430.41;413.75;397.09;201510
Estrato 4 - Todo el consumo;430.41;413.75;397.09;201510
Estrato 5 y 6 - Todo el consumo;516.49;496.49;476.5;201510
Industrial y Comercial;516.49;496.49;476.5;201510
ESPD*;473.45;455.12;436.79;201510
Oficial y Exentos de Contribucion;430.41;413.75;397.09;201510
Industrial y Comercial - Punta;514.48;494.49;474.50;201510
Industrial y Comercial - Fuera de Punta;517.72;497.73;477.73;201510
Oficial y Exentos - Punta;428.73;412.07;395.42;201510
Oficial y Exentos - Fuera de Punta;431.43;414.77;398.11;201510
Estrato 1 - Rango 0 - CS;176.47;169.47;163.12;201511
Estrato 1 - Rango > CS;436.86;419.95;403.04;201511
Estrato 2 - Rango 0 - CS;220.59;211.84;203.9;201511
Estrato 2 - Rango > CS;436.86;419.95;403.04;201511
Estrato 3 - Rango 0 - CS;371.33;356.96;342.59;201511
Estrato 3 - Rango > CS;436.86;419.95;403.04;201511
Estrato 4 - Todo el consumo;436.86;419.95;403.04;201511
Estrato 5 y 6 - Todo el consumo;524.23;503.94;483.65;201511
Industrial y Comercial;524.23;503.94;483.65;201511
ESPD*;480.55;461.95;443.35;201511
Oficial y Exentos de Contribucion;436.86;419.95;403.04;201511
Industrial y Comercial - Punta;522.20;501.91;481.62;201511
Industrial y Comercial - Fuera de Punta;525.48;505.19;484.90;201511
Oficial y Exentos - Punta;435.17;418.26;401.35;201511
Oficial y Exentos - Fuera de Punta;437.90;420.99;404.08;201511
Estrato 1 - Rango 0 - CS;177.53;170.49;164.1;201512
Estrato 1 - Rango > CS;435.94;419.62;403;201512
Estrato 2 - Rango 0 - CS;221.91;213.12;205.12;201512
Estrato 2 - Rango > CS;435.94;419.62;403;201512
Estrato 3 - Rango 0 - CS;370.55;356.67;342.55;201512
Estrato 3 - Rango > CS;435.94;419.62;403;201512
Estrato 4 - Todo el consumo;435.94;419.62;403;201512
Estrato 5 y 6 - Todo el consumo;523.13;503.54;483.6;201512
Industrial y Comercial;523.13;503.54;483.6;201512
ESPD*;479.54;461.58;443.3;201512
Oficial y Exentos de Contribucion;435.94;419.62;403;201512
Industrial y Comercial - Punta;517.50;499.40;478.44;201512
Industrial y Comercial - Fuera de Punta;533.37;505.55;487.71;201512
Oficial y Exentos - Punta;431.25;416.16;398.70;201512
Oficial y Exentos - Fuera de Punta;444.47;421.29;406.43;201512
Estrato 1 - Rango 0 - CS;178.64;171.55;165.12;201601
Estrato 1 - Rango > CS;442.48;425.91;409.05;201601
Estrato 2 - Rango 0 - CS;223.3;214.44;206.4;201601
Estrato 2 - Rango > CS;442.48;425.91;409.05;201601
Estrato 3 - Rango 0 - CS;376.11;362.02;347.69;201601
Estrato 3 - Rango > CS;442.48;425.91;409.05;201601
Estrato 4 - Todo el consumo;442.48;425.91;409.05;201601
Estrato 5 y 6 - Todo el consumo;530.98;511.09;490.86;201601
Industrial y Comercial;530.98;511.09;490.86;201601
ESPD*;486.73;468.5;449.95;201601
Oficial y Exentos de Contribucion;442.48;425.91;409.05;201601
Industrial y Comercial - Punta;525.26;506.89;485.61;201601
Industrial y Comercial - Fuera de Punta;541.37;513.13;495.03;201601
Oficial y Exentos - Punta;437.72;422.41;404.68;201601
Oficial y Exentos - Fuera de Punta;451.14;427.61;412.52;201601
Estrato 1 - Rango 0 - CS;180.94;173.77;167.25;201602
Estrato 1 - Rango > CS;449.12;432.3;415.18;201602
Estrato 2 - Rango 0 - CS;226.18;217.21;209.07;201602
Estrato 2 - Rango > CS;449.12;432.3;415.18;201602
Estrato 3 - Rango 0 - CS;381.75;367.45;352.91;201602
Estrato 3 - Rango > CS;449.12;432.3;415.18;201602
Estrato 4 - Todo el consumo;449.12;432.3;415.18;201602
Estrato 5 y 6 - Todo el consumo;538.94;518.76;498.22;201602
Industrial y Comercial;538.94;518.76;498.22;201602
ESPD*;494.03;475.53;456.7;201602
Oficial y Exentos de Contribucion;449.12;432.3;415.18;201602
Industrial y Comercial - Punta;533.14;514.49;492.90;201602
Industrial y Comercial - Fuera de Punta;549.49;520.83;502.45;201602
Oficial y Exentos - Punta;444.28;428.74;410.75;201602
Oficial y Exentos - Fuera de Punta;457.91;434.02;418.71;201602
Estrato 1 - Rango 0 - CS;183.25;175.99;169.39;201603
Estrato 1 - Rango > CS;455.86;438.78;421.41;201603
Estrato 2 - Rango 0 - CS;229.07;219.98;211.73;201603
Estrato 2 - Rango > CS;455.86;438.78;421.41;201603
Estrato 3 - Rango 0 - CS;387.48;372.97;358.2;201603
Estrato 3 - Rango > CS;455.86;438.78;421.41;201603
Estrato 4 - Todo el consumo;455.86;438.78;421.41;201603
Estrato 5 y 6 - Todo el consumo;547.03;526.54;505.69;201603
Industrial y Comercial;547.03;526.54;505.69;201603
ESPD*;501.44;482.66;463.55;201603
Oficial y Exentos de Contribucion;455.86;438.78;421.41;201603
Industrial y Comercial - Punta;541.14;522.21;500.29;201603
Industrial y Comercial - Fuera de Punta;557.73;528.64;509.99;201603
Oficial y Exentos - Punta;450.95;435.17;416.91;201603
Oficial y Exentos - Fuera de Punta;464.77;440.53;424.99;201603
Estrato 1 - Rango 0 - CS;185.08;178.15;171.09;201604
Estrato 1 - Rango > CS;462.7;445.36;427.73;201604
Estrato 2 - Rango 0 - CS;231.35;222.68;213.87;201604
Estrato 2 - Rango > CS;462.7;445.36;427.73;201604
Estrato 3 - Rango 0 - CS;393.29;378.56;363.57;201604
Estrato 3 - Rango > CS;462.7;445.36;427.73;201604
Estrato 4 - Todo el consumo;462.7;445.36;427.73;201604
Estrato 5 y 6 - Todo el consumo;555.23;534.44;513.28;201604
Industrial y Comercial;555.23;534.44;513.28;201604
ESPD*;508.96;489.9;470.5;201604
Oficial y Exentos de Contribucion;462.7;445.36;427.73;201604
Industrial y Comercial - Punta;549.25;530.04;507.80;201604
Industrial y Comercial - Fuera de Punta;566.10;536.57;517.64;201604
Oficial y Exentos - Punta;457.71;441.70;423.16;201604
Oficial y Exentos - Fuera de Punta;471.75;447.14;431.37;201604
Estrato 1 - Rango 0 - CS;187.85;180.82;173.66;201605
Estrato 1 - Rango > CS;469.64;452.05;434.15;201605
Estrato 2 - Rango 0 - CS;234.82;226.02;217.07;201605
Estrato 2 - Rango > CS;469.64;452.05;434.15;201605
Estrato 3 - Rango 0 - CS;399.19;384.24;369.03;201605
Estrato 3 - Rango > CS;469.64;452.05;434.15;201605
Estrato 4 - Todo el consumo;469.64;452.05;434.15;201605
Estrato 5 y 6 - Todo el consumo;563.56;542.45;520.98;201605
Industrial y Comercial;563.56;542.45;520.98;201605
ESPD*;516.6;497.25;477.56;201605
Oficial y Exentos de Contribucion;469.64;452.05;434.15;201605
Industrial y Comercial - Punta;557.49;537.99;515.41;201605
Industrial y Comercial - Fuera de Punta;574.59;544.62;525.41;201605
Oficial y Exentos - Punta;464.58;448.33;429.51;201605
Oficial y Exentos - Fuera de Punta;478.82;453.85;437.84;201605
Estrato 1 - Rango 0 - CS;190.67;183.53;176.26;201606
Estrato 1 - Rango > CS;476.68;458.83;440.66;201606
Estrato 2 - Rango 0 - CS;238.34;229.41;220.33;201606
Estrato 2 - Rango > CS;476.68;458.83;440.66;201606
Estrato 3 - Rango 0 - CS;405.18;390;374.56;201606
Estrato 3 - Rango > CS;476.68;458.83;440.66;201606
Estrato 4 - Todo el consumo;476.68;458.83;440.66;201606
Estrato 5 y 6 - Todo el consumo;572.02;550.59;528.79;201606
Industrial y Comercial;572.02;550.59;528.79;201606
ESPD*;524.35;504.71;484.73;201606
Oficial y Exentos de Contribucion;476.68;458.83;440.66;201606
Industrial y Comercial - Punta;565.86;546.06;523.14;201606
Industrial y Comercial - Fuera de Punta;583.21;552.79;533.29;201606
Oficial y Exentos - Punta;471.55;455.05;435.95;201606
Oficial y Exentos - Fuera de Punta;486.00;460.65;444.41;201606
Estrato 1 - Rango 0 - CS;193.53;186.28;178.91;201607
Estrato 1 - Rango > CS;483.83;465.71;447.27;201607
Estrato 2 - Rango 0 - CS;241.92;232.85;223.63;201607
Estrato 2 - Rango > CS;483.83;465.71;447.27;201607
Estrato 3 - Rango 0 - CS;411.26;395.85;380.18;201607
Estrato 3 - Rango > CS;483.83;465.71;447.27;201607
